updatetime,language,totalcommits,sloc,ageyear,contributor,hourabslog,sloclog,commitlog,durationlog,contrilog,category,dynamicstatic,strongweak
374.295,Go,875,7248,3.986402167,56,2.573214026,3.860218185,2.942008053,0.60058111,1.748188027,static-strong,static,strong
459.3397222,Go,5545,379419,3.546035012,333,2.662134003,5.579119075,3.74390155,0.549743019,2.522444234,static-strong,static,strong
470.8675,Go,1250,10536,3.575401942,111,2.672898716,4.022675762,3.096910013,0.553324872,2.045322979,static-strong,static,strong
503.2983333,Go,2098,122410,2.943910976,128,2.701825492,5.087816898,3.321805484,0.468924673,2.10720997,static-strong,static,strong
595.0922222,Go,2372,29013,7.518257298,131,2.774584274,4.462592638,3.375114685,0.876117185,2.117271296,static-strong,static,strong
797.1097222,Go,1230,11400,1.165033822,58,2.901518106,4.056904851,3.089905111,0.066338534,1.763427994,static-strong,static,strong
859.8830556,Go,3509,371624,1.948177437,32,2.934439391,5.570103754,3.545183368,0.289628509,1.505149978,static-strong,static,strong
2095.349583,Go,329,3867,4.1836078,24,3.32125649,3.587374172,2.517195898,0.621550964,1.380211242,static-strong,static,strong
0.207222222,Java,156,12843,1.399839956,10,-0.683563674,4.108666483,2.193124598,0.146078386,1,static-strong,static,strong
0.884166667,Java,695,10167,4.225426344,59,-0.053465862,4.007192824,2.841984805,0.625870536,1.770852012,static-strong,static,strong
6.079166667,Java,3331,104384,5.641420814,70,0.78384405,5.018633935,3.522574633,0.751388497,1.84509804,static-strong,static,strong
7.800833333,Java,568,7179,0.582093557,26,0.892140999,3.856063953,2.754348336,-0.235007208,1.414973348,static-strong,static,strong
7.915694444,Java,174,2667,2.731463059,16,0.898489022,3.426023016,2.240549248,0.436395331,1.204119983,static-strong,static,strong
8.439444444,Java,5081,239256,4.379606867,155,0.926313859,5.378862838,3.705949195,0.641435128,2.190331698,static-strong,static,strong
8.800833333,Java,1713,8590,2.28823849,66,0.944523797,3.933993164,3.233757363,0.359501287,1.819543936,static-strong,static,strong
15.44027778,Java,27002,644003,7.338732767,407,1.188655109,5.80888789,4.431395933,0.865621074,2.609594409,static-strong,static,strong
17.8025,Java,1585,41065,3.876519001,49,1.250480994,4.613471827,3.200029267,0.588441917,1.69019608,static-strong,static,strong
20.95638889,Java,11598,203914,4.605202643,340,1.321316449,5.309447044,4.064383104,0.663248745,2.531478917,static-strong,static,strong
20.97861111,Java,1467,7486,2.537110918,71,1.321776732,3.874249823,3.166430114,0.404339454,1.851258349,static-strong,static,strong
21.19625,Java,8095,225314,6.578081887,264,1.326259033,5.352788178,3.908216853,0.818099275,2.421603927,static-strong,static,strong
29.84138889,Java,1619,23675,2.774449653,77,1.474819032,4.374289988,3.209246849,0.443176848,1.886490725,static-strong,static,strong
38.04944444,Java,1481,25335,6.249365548,53,1.58034832,4.403720909,3.170555059,0.795835929,1.72427587,static-strong,static,strong
46.25680556,Java,3148,21660,5.735546232,115,1.665175638,4.335658452,3.498034724,0.758574785,2.06069784,static-strong,static,strong
50.96333333,Java,501,18201,2.312665574,34,1.707257826,4.26009525,2.699837726,0.364112836,1.531478917,static-strong,static,strong
51.1975,Java,12869,259757,4.799123007,380,1.709248755,5.41456726,4.109544801,0.681161882,2.579783597,static-strong,static,strong
57.71638889,Java,2628,64471,2.932254437,69,1.761299151,4.809364407,3.419625361,0.467201652,1.838849091,static-strong,static,strong
